polarity alchemy|dream incubation
conflict geometry|sacred cartography
guild craft|herbal metallurgy
shadow psychometry|lunar judicature
death-rites|serpent tantra
hydromancy|number mysticism
plant alchemy|ritual hygiene
storm magic|temple architecture
myth-weaving|acoustic healing
evolutionary lore|angelic philology
civic oratory|theurgical ethics
optics|ophidian herb-work
metaphysical safeguards|apotropaics
psycho-acoustics|liminal dreaming
sacred geometry|cosmography
astro-herbalism|metaphysics
geomantic design|solar distillation
cosmic cycles|astronomical coding
first-principle magic|eidetic dreaming
ritual attraction|aero-divination
ceremonial law|dragon-fire geomancy
dream artistry|creative alchemy
lenscraft|earth-water synthesis
hieratic linguistics|toning therapy
esoteric maths|martial psyche
metallurgic transmutation|pyromancy
solar rites|pyromancy
soul weaving|sigil calculus
spirit genealogy|covenant smithing
pneuma study|ether navigation
hydromancy|dream navigation
hydromancy|aqua healing
solar rites|inner furnace yoga
pyromancy|metallurgic transmutation
inner furnace yoga|solar rites
metallurgic transmutation|inner furnace yoga
metallurgic transmutation|pyromancy
geomantic bastions|optics of warning
star naming|dream inscribing
binding code|angelic calculus
pyromancy|inner furnace yoga
frequency healing|root-alchemy
harmonic syntax|biosphere energy
breath alchemy|aeromancy
aeromancy|acoustic geometry
pyromancy|solar rites
metallurgic transmutation|solar rites
pyromancy|inner furnace yoga
pyromancy|metallurgic transmutation
breath alchemy|aeromancy
divinatory balance|optical magic
sorrow alchemy|wind-borne lamentation
breath alchemy|aeromancy
sky cartography|breath alchemy
acoustic geometry|sky cartography
solar rites|inner furnace yoga
inner furnace yoga|pyromancy
metallurgic transmutation|pyromancy
solar rites|inner furnace yoga
inner furnace yoga|metallurgic transmutation
stem alchemy|crystal lore
crystal lore|stem alchemy
geomancy|crystal lore
geomancy|crystal lore
geomancy|stem alchemy
crystal lore|mineralurgy
stem alchemy|mineralurgy
stem alchemy|geomancy
mineralurgy|stem alchemy
mirroring numerology|cere-law
solar music|morale psychology
mineralurgy|geomancy
mineralurgy|stem alchemy
stem alchemy|geomancy
crystal lore|geomancy
hearth geomancy|food alchemy
void meditation|boundary magick
mineralurgy|geomancy
crystal lore|mineralurgy
geomancy|mineralurgy
crystal lore|mineralurgy
stem alchemy|geomancy
hermetic synthesis|liminal studies
grain mysteries|fertility charts
aeromancy|breath alchemy
east-gate astrology|sword logic
poem-alchemy|psyche cartography
solar rites|metallurgic transmutation
soul weaving|sigil calculus
soul weaving|aethyr coding
liminal studies|hermetic synthesis
