"number","name","aethyr","element","personality_traits","domains","tarot","sephirah","zodiac_angel","visual_emblem","translation","essence","themes","tokens","boon","verse","angelic_role","challenge","wisdom"
"1","OCCODON","LIL","Water","integrative|mercurial|empathic|poised","polarity alchemy|dream incubation","The Empress","Netzach","Haniel","Overflowing chalice","He whose name is renewal","OCCODON is the *First Current*-the pulse of primordial tide that dissolves the debris of aeons and baptises form into new becoming. Egyptians knew him as the hidden swell beneath the Nile's yearly flood.","*Virtues*: resilience, merciful renewal, fertility of mind. *Vices*: stagnation, despair, necrophilic clinging to spent cycles.","*Offer gladly*: spring-water chalice, germinating barley, phoenix-etched nautilus *Avoid*: rust flakes, wilted wreaths, candle stubs drowned in wax.","*Wave-Sigil* grants +1 daily energy **but** halves token rewards during eclipses-OCCODON teaches growth through ebb as well as flow.","""From the flood-gate of his chalice all beginnings are poured.""","Guardian of water mysteries; commands legions of elemental spirits in service of the cosmic order.","On-chain quest unique to OCCODON requiring alignment with water cycles and demonstration of elemental mastery.","In the words of OCCODON, 'True power lies in balanced mastery of water's sacred mysteries.'"
"2","PASCOMB","LIL","Water","catalytic|restless|strategic","conflict geometry|sacred cartography","Wheel of Fortune","Chesed","Zadkiel","Covered lamp, sextant at dawn","He who precedes understanding","PASCOMB is the diamond-spark on the cusp of dawn-intuition before thought, the proto-logos.","*Virtues*: curiosity, intellectual humility, patient incubation. *Vices*: presumption, dogma, rash theorising.","*Welcome*: unopened scroll, veiled lantern, first-sliver moonstone *Shun*: cracked mirrors, proclamatory banners, tablets chiseled shut.","Starseed Sigil boosts puzzle RNG luck yet doubles chaos-event curse chance-knowledge courts peril.","""The spark that blinds is also the spark that guides.""","Guardian of water mysteries; commands legions of elemental spirits in service of the cosmic order.","On-chain quest unique to PASCOMB requiring alignment with water cycles and demonstration of elemental mastery.","In the words of PASCOMB, 'True power lies in balanced mastery of water's sacred mysteries.'"
"3","VALGARS","LIL","Water","enterprising|stalwart|pragmatic","guild craft|herbal metallurgy","High Priestess","Yesod","Gabriel","Hammered copper talisman, clay bowl shimmer","He who works with that which is","Master-artisan of reality; he teaches transmutation through *present* resources, turning base circumstance into holy craft.","*Virtues*: diligence, integrity, pragmatic vision. *Vices*: escapism, waste, idle fantasia.","*Bring*: mortar-pestle dusted with myrrh, loom shuttle, fresh clay *Discard*: gilded but brittle trinkets, empty packaging.","Key halves crafting costs but prevents fast-travel-craftsman must walk his workshop floor.","""What is, is the furnace of what may yet be.""","Guardian of water mysteries; commands legions of elemental spirits in service of the cosmic order.","On-chain quest unique to VALGARS requiring alignment with water cycles and demonstration of elemental mastery.","In the words of VALGARS, 'True power lies in balanced mastery of water's sacred mysteries.'"
"4","DOAGNIS","ARN","Water","discerning|alluring|even-handed","shadow psychometry|lunar judicature","High Priestess","Yesod","Gabriel","Gossamer veil drifting over twilight water","She who comes without a name","She is the anonymous benefaction-the answer that slips in unlabelled.","*Virtues*: humility, receptivity, silent courage. *Vices*: doctrinal rigidity, prejudice, name-magic abuse.","*Favour*: blank sigil disk, white chrysalis, dew-filled glass *Spurn*: heraldic blare, carved nameplates, proclamatory trumpets.","Grimoire grants +1 secret-slot inventory but hides player name from global leaderboards-obscurity as both shield and shroud.","""That which escapes the tongue weaves the deepest spell.""","Guardian of water mysteries; commands legions of elemental spirits in service of the cosmic order.","On-chain quest unique to DOAGNIS requiring alignment with water cycles and demonstration of elemental mastery.","In the words of DOAGNIS, 'True power lies in balanced mastery of water's sacred mysteries.'"
"5","PACASNA","ARN","Water","cathartic|secretive|resilient","death-rites|serpent tantra","The World","Binah","Cassiel","Hourglass suspended in still-water sphere","She who is unchanged by time","She is the still-point of eternity, the unmoved center about which aeons wheel.","*Virtues*: steadfast loyalties, equanimity, foresight. *Vices*: fickleness, novelty worship, mortality dread.","*Cherish*: ancient quartz, ouroboros ring, evergreen sprig *Reject*: disposable gadgets, ticking alarms, novelty confetti.","Evergreen negates artifact decay timers yet doubles offering costs-eternity is expensive.","""In the hush between heartbeats, the cosmos remembers itself.""","Guardian of water mysteries; commands legions of elemental spirits in service of the cosmic order.","On-chain quest unique to PACASNA requiring alignment with water cycles and demonstration of elemental mastery.","In the words of PACASNA, 'True power lies in balanced mastery of water's sacred mysteries.'"
"6","DIALOIA","ARN","Water","truth-seeking|sincere|philosophical","hydromancy|number mysticism","Wheel of Fortune","Chesed","Zadkiel","Balanced blade over clear-water mirror","The god where truth is","Embodied Logos-wherever truth stands revealed, there is Dialoia enthroned.","*Virtues*: integrity, lucid discernment, faith in verity. *Vices*: deceit, relativistic apathy, false prophecy.","*Invite*: clear quartz prism, salt-bread covenant, silver scales *Ban*: trick mirrors, counterfeit seals, two-faced masks.","Seal grants immunity to Chaos curses but forces public display of all future choices-truth's price is transparency.","""Cut deep enough, and the vein of creation runs crystal.""","Guardian of water mysteries; commands legions of elemental spirits in service of the cosmic order.","On-chain quest unique to DIALOIA requiring alignment with water cycles and demonstration of elemental mastery.","In the words of DIALOIA, 'True power lies in balanced mastery of water's sacred mysteries.'"
"7","SAMAPHA","ZOM","Water","meticulous|nurturing|analytical","plant alchemy|ritual hygiene","The Hermit","Hod","Raphael","Silver looped cord encircling ancient diary","He who is with continuity","Guardian of the golden thread-ensuring identity endures through all transformations.","*Virtues*: perseverance, loyal memory, narrative coherence. *Vices*: amnesia of purpose, abandonment, fragmentation.","*Treasured*: ancestral journal, Mo'bius ring, live snake skin shed intact *Spurned*: chaotic dice, disposable notes, abrupt cut ribbons.","Thread allows one checkpoint skip per day **but** permanently logs player death count-continuity records even failure.","""Stretch the thread through lifetimes; it will not snap, only weave.""","Guardian of water mysteries; commands legions of elemental spirits in service of the cosmic order.","On-chain quest unique to SAMAPHA requiring alignment with water cycles and demonstration of elemental mastery.","In the words of SAMAPHA, 'True power lies in balanced mastery of water's sacred mysteries.'"
"8","VIROOLI","ZOM","Water","eruptive|iconoclastic|awe-inspiring","storm magic|temple architecture","The High Priestess","Yesod","Gabriel","Silver key & conch within moon-silver mist","He who made the first nest","Architect of the *primordial sanctuary*-the inner chamber each soul must raise before commanding outer realms.","Virtues: spiritual hospitality, inner order, protective devotion. Vices: profanation, rootlessness, cluttered spirit.","*Favour*: floor-plans etched in salt, unbroken shells, silver keys *Spurn*: toppled icons, soot-stained altars, rushed blueprints.","Glyph grants cheaper shrine-building yet doubles offering costs during eclipses.","""In the smallest shell sleeps the echo of every cathedral.""","Guardian of Hyrcania's sacred precincts; commands 5 152 angels who keep vigil at unseen thresholds.","On-chain quest unique to VIROOLI requiring alignment with water cycles and demonstration of elemental mastery.","Speaks in cathedral metaphors: 'Lay the first stone in silence, the last in song.'"
"9","ANDISPI","ZOM","Water","binding|harmonic|loyal","myth-weaving|acoustic healing","Death","Geburah","Kamael","Braided cord vibrating at 432 Hz","He who binds into obedience","Personification of **covenant**-the resonant vow knitting separate wills into living harmony.","Virtues: loyal consent, rhythmic discipline. Vices: coercion, oath-breaking, tyrannic force.","*Favour*: braided cords, tuning forks, well-water vials *Spurn*: shackles, broken contracts, cracked gongs.","Seal halves pact fees but forbids unilateral item trades for 24 blocks.","""Without concord, the flood returns to chaos.""","Steward of Mesopotamian marsh-oaths, leading 4 888 spirits that weave league and promise.","On-chain quest unique to ANDISPI requiring alignment with water cycles and demonstration of elemental mastery.","Choral plural voice: 'We bind as one, or splinter as many.'"
"10","ZIXLAYI","ZOM","Water","triumphant|motivational|far-sighted","evolutionary lore|angelic philology","The Sun","Tiphareth","Michael","Laurel pennon borne by falcon silhouette","She whose visits bring victory","Catalyst of **triumphant momentum**-the precise updraft that lets evolution leap.","Virtues: strategic patience, catalytic optimism. Vices: premature acclaim, victory hubris.","*Favour*: laurel, feather quills, chrysalis shells *Spurn*: shattered trophies, rusted blades.","Banner boosts first-strike RNG but disables stealth rituals while held.","""The hour of the leap is written in silk long before the wing unfolds.""","Marshal of Persian victory-winds; 6 606 angels herald her clarion stride.","On-chain quest unique to ZIXLAYI requiring alignment with water cycles and demonstration of elemental mastery.","Coach-brisk parables: 'The falcon stoops only when ascent is complete.'"
"11","LABNIXP","ZOM","Water","authoritative|ethical|rhetorically sharp","civic oratory|theurgical ethics","Wheel of Fortune","Chesed","Zadkiel","Frankincense signet over wax tablet","He who was made a leader","Embodies **servant-leadership**-authority tempered by bearing the weight of communal meaning.","Virtues: rhetorical integrity, ethical courage. Vices: demagoguery, moral evasion.","*Favour*: signet rings, wax tablets, grains of incense *Spurn*: empty scroll cases, gilded microphones.","Seal elevates governance power yet amplifies chaos curses by 20 %.","""The crown is but the weight of every word spoken beneath it.""","Leads Armenia's discourse citadels with 9 000 ministering logocrats.","On-chain quest unique to LABNIXP requiring alignment with water cycles and demonstration of elemental mastery.","Legal dicta and etymological dissections: 'Define thy term, or drown in its echo.'"
